1180,5650,1180,0,1340,5650,221900
2570,7242,2170,400,1690,7639,538000
770,10000,770,0,2720,8062,180000
1960,5000,1050,910,1360,5000,604000
1680,8080,1680,0,1800,7503,510000
5420,101930,3890,1530,4760,101930,1225000000
1715,6819,1715,0,2238,6819,257500
1060,9711,1060,0,1650,9711,291850
1780,7470,1050,730,1780,8113,229500
1890,6560,1890,0,2390,7570,323000
3560,9796,1860,1700,2210,8925,662500
1160,6000,860,300,1330,6000,468000
1430,19901,1430,0,1780,12697,310000
1370,9680,1370,0,1370,10208,400000
1810,4850,1810,0,1360,4850,530000
2950,5000,1980,970,2140,4000,650000
1890,14040,1890,0,1890,14018,395000
1600,4300,1600,0,1610,4300,485000
1200,9850,1200,0,1060,5095,189000
1250,9774,1250,0,1280,8850,230000
1620,4980,860,760,1400,4980,385000
3050,44867,2330,720,4110,20336,2000000
2270,6300,2270,0,2240,7005,285000
1070,9643,1070,0,1220,8386,252700
2450,6500,2450,0,2200,6865,329000
1710,4697,1710,0,1030,4705,233000
2450,2691,1750,700,1760,3573,937000
1400,1581,1400,0,1860,3861,667000
1520,6380,790,730,1520,6235,438000
2570,7173,2570,0,2630,6026,719000
2320,3980,2320,0,2580,3980,580500
1190,1265,1190,0,1390,1756,280000
2330,5000,1510,820,1460,5000,687500
1090,3000,1090,0,1570,5080,535000
2060,6659,1280,780,2020,8720,322500
2300,3060,1510,790,1590,3264,696000
1660,34848,930,730,2160,11467,550000
2360,6000,2360,0,1730,4700,640000
1220,8075,890,330,1290,7800,240000
2620,7553,2620,0,2620,11884,605000
2570,5520,2570,0,2470,5669,625000
4220,24186,2600,1620,2410,30617,775000
3595,5639,3595,0,3625,5639,861990
1570,2280,1570,0,1580,2640,685000
1280,9656,920,360,1340,8808,309000
3160,13603,3160,0,3050,9232,488000
990,8528,990,0,1228,8840,210490
2290,13416,2290,0,2680,13685,785000
1250,5963,1250,0,970,5100,450000
1190,9199,1190,0,1190,9364,228000
3150,9134,1640,1510,1990,9133,345000
1410,4080,1000,410,1410,4080,600000
1980,8550,990,990,1480,6738,585000
2730,6000,2130,600,2730,6000,920000
2830,5000,2830,0,1950,5000,885000
2250,4495,2250,0,2250,4500,292500
2420,4750,2420,0,2690,4750,301000
3250,14342,3250,0,2960,11044,951000
1850,9976,1850,0,2270,8542,430000
2150,21235,1590,560,2570,18900,650000
1260,8400,1260,0,1290,8750,289000
2519,8690,2519,0,2500,9500,505000
1540,1044,1540,0,1580,3090,549000
1660,6000,1110,550,1440,4080,425000
2770,3809,1770,1000,1440,4000,317625
2720,11049,2720,0,2750,11049,975000
2240,4648,2240,0,2221,4557,287000
1000,12070,1000,0,1010,12635,204000
3200,20158,1600,1600,3390,20158,1325000000
4770,50094,3070,1700,3530,38917,1.04e+006
1260,5612,1260,0,1640,4745,325000
2750,7807,2250,500,1510,7807,571000
2380,5000,2380,0,2420,5000,360000
1790,50529,1090,700,1940,50529,349000
3430,35102,2390,1040,3240,35020,832500
1760,7300,880,880,1680,7500,380000
1040,5060,1040,0,890,5060,480000
1410,5060,910,500,1130,5693,410000
3450,39683,3450,0,3350,39750,720000
2350,5100,2350,0,2350,5363,390000
1900,5889,1900,0,1870,6405,360000
2020,6720,1010,1010,1720,6720,355000
1680,8712,1680,0,1850,8797,356000
960,6634,960,0,1570,7203,315000
2140,3600,1900,240,2020,4800,940000
2660,8400,2660,0,1590,8165,305000
2770,6278,1980,790,1900,7349,461000
1610,2040,1610,0,1950,2025,215000
